standard sorting order,Long List (isc:),Long List (formatted),Rank,Black/White/None text font colour,CMYK,Cyan,Magenta,Yellow,Black,RGB,Red,Green,Blue,HTML RGB HASH,,,,,
,,,,,,,,,,,,,,,,,,,
,"Eonothems, Erathems, Systems, Subsytems, Series, Subseries, Stages",,,,,,,,,,,,,,,,,,
standard sort,Long List (isc:),Long List (formatted),Rank,,,,,,,,,,,,,,,,
151,isc:LowerOrdovician,Lower Ordovician,Series,White,90/0/60/0,90,0,60,0,26/157/111,26,157,111,#1A9D6F,Lower Ordovician Series,,"26,157,111",,#1A9D6F
152,isc:Ordovician,Ordovician,System,White,100/0/60/0,100,0,60,0,0/146/112,0,146,112,#009270,Ordovician System,,"0,146,112",,#009270
153,isc:CambrianStage10,Stage 10,Stage,Black,10/0/20/0,10,0,20,0,230/245/201,230,245,201,#E6F5C9,Stage 10 Stage,,"230,245,201",,#E6F5C9
154,isc:Jiangshanian,Jiangshanian,Stage,Black,15/0/25/0,15,0,25,0,217/240/187,217,240,187,#D9F0BB,Jiangshanian Stage,,"217,240,187",,#D9F0BB
155,isc:Paibian,Paibian,Stage,Black,20/0/35/0,20,0,35,0,204/235/174,204,235,174,#CCEBAE,Paibian Stage,,"204,235,174",,#CCEBAE
156,isc:Furongian,Furongian,Series,Black,30/0/40/0,30,0,40,0,179/224/149,179,224,149,#B3E095,Furongian Series,,"179,224,149",,#B3E095
157,isc:Guzhangian,Guzhangian,Stage,Black,20/5/30/0,20,5,30,0,204/223/170,204,223,170,#CCDFAA,Guzhangian Stage,,"204,223,170",,#CCDFAA
158,isc:Drumian,Drumian,Stage,Black,25/5/35/0,25,5,35,0,191/217/157,191,217,157,#BFD99D,Drumian Stage,,"191,217,157",,#BFD99D
159,isc:Wuliuan,Wuliuan,Stage,Black,30/5/40/0,30,5,40,0,179/212/146,179,212,146,#B3D492,Wuliuan Stage,,"179,212,146",,#B3D492
160,isc:Miaolingian,Miaolingian,Series,Black,35/5/45/0,35,5,45,0,166/207/134,166,207,134,#A6CF86,Miaolingian Series,,"166,207,134",,#A6CF86
161,isc:CambrianStage4,Stage 4,Stage,Black,30/10/40/0,30,10,40,0,179/202/142,179,202,142,#B3CA8E,Stage 4 Stage,,"179,202,142",,#B3CA8E
162,isc:CambrianStage3,Stage 3,Stage,Black,35/10/45/0,35,10,45,0,166/197/131,166,197,131,#A6C583,Stage 3 Stage,,"166,197,131",,#A6C583
163,isc:CambrianSeries2,Series 2,Series,Black,40/10/50/0,40,10,50,0,153/192/120,153,192,120,#99C078,Series 2 Series,,"153,192,120",,#99C078
164,isc:CambrianStage2,Stage 2,Stage,Black,35/15/45/0,35,15,45,0,166/186/128,166,186,128,#A6BA80,Stage 2 Stage,,"166,186,128",,#A6BA80
165,isc:Fortunian,Fortunian,Stage,Black,40/15/50/0,40,15,50,0,153/181/117,153,181,117,#99B575,Fortunian Stage,,"153,181,117",,#99B575
166,isc:Terreneuvian,Terreneuvian,Series,Black,45/15/55/0,45,15,55,0,140/176/108,140,176,108,#8CB06C,Terreneuvian Series,,"140,176,108",,#8CB06C
167,isc:Cambrian,Cambrian,System,White,50/20/65/0,50,20,65,0,127/160/86,127,160,86,#7FA056,Cambrian System,,"127,160,86",,#7FA056
168,isc:Paleozoic,Paleozoic,Erathem,Black,40/10/40/0,40,10,40,0,153/192/141,153,192,141,#99C08D,Paleozoic Erathem,,"153,192,141",,#99C08D
169,isc:Phanerozoic,Phanerozoic,Eonothem,Black,40/0/5/0,40,0,5,0,154/217/221,154,217,221,#9AD9DD,Phanerozoic Eonothem,,"154,217,221",,#9AD9DD
170,isc:Ediacaran,Ediacaran,System,Black,0/15/55/0,0,15,55,0,254/217/106,254,217,106,#FED96A,Ediacaran System,,"254,217,106",,#FED96A
171,isc:Cryogenian,Cryogenian,System,Black,0/20/60/0,0,20,60,0,254/204/92,254,204,92,#FECC5C,Cryogenian System,,"254,204,92",,#FECC5C
172,isc:Tonian,Tonian,System,Black,0/25/65/0,0,25,65,0,254/191/78,254,191,78,#FEBF4E,Tonian System,,"254,191,78",,#FEBF4E
173,Isc:Neoproterozoic,Neoproterozoic,Erathem,Black,0/30/70/0,0,30,70,0,254/179/66,254,179,66,#FEB342,Neoproterozoic Erathem,,"254,179,66",,#FEB342
174,isc:Stenian,Stenian,System,Black,0/15/35/0,0,15,35,0,254/217/154,254,217,154,#FED99A,Stenian System,,"254,217,154",,#FED99A
175,isc:Ectasian,Ectasian,System,Black,0/20/40/0,0,20,40,0,253/204/138,253,204,138,#FDCC8A,Ectasian System,,"253,204,138",,#FDCC8A
176,isc:Calymmian,Calymmian,System,Black,0/24/45/0,0,24,45,0,253/192/122,253,192,122,#FDC07A,Calymmian System,,"253,192,122",,#FDC07A
177,Isc:Mesoproterozoic,Mesoproterozoic,Erathem,Black,0/30/55/0,0,30,55,0,253/180/98,253,180,98,#FDB462,Mesoproterozoic Erathem,,"253,180,98",,#FDB462
178,isc:Statherian,Statherian,System,Black,0/55/10/0,0,55,10,0,248/117/167,248,117,167,#F875A7,Statherian System,,"248,117,167",,#F875A7
179,isc:Orosirian,Orosirian,System,Black,0/60/15/0,0,60,15,0,247/104/152,247,104,152,#F76898,Orosirian System,,"247,104,152",,#F76898
180,isc:Rhyacian,Rhyacian,System,Black,0/65/20/0,0,65,20,0,247/91/137,247,91,137,#F75B89,Rhyacian System,,"247,91,137",,#F75B89
181,isc:Siderian,Siderian,System,Black,0/70/25/0,0,70,25,0,247/79/124,247,79,124,#F74F7C,Siderian System,,"247,79,124",,#F74F7C
182,isc:Paleoproterozoic,Paleoproterozoic,Erathem,Black,0/75/30/0,0,75,30,0,247/67/112,247,67,112,#F74370,Paleoproterozoic Erathem,,"247,67,112",,#F74370
183,isc:Proterozoic,Proterozoic,Eonothem,Black,0/80/35/0,0,80,35,0,247/53/99,247,53,99,#F73563,Proterozoic Eonothem,,"247,53,99",,#F73563
184,isc:NeoarcheanSystem,unnamed1,System,None,0/35/5/0,0,35,5,0,250/167/200,250,167,200,#FAA7C8,unnamed1 System,,"250,167,200",,#FAA7C8
185,isc:Neoarchean,Neoarchean,Erathem,Black,0/40/5/0,0,40,5,0,249/155/193,249,155,193,#F99BC1,Neoarchean Erathem,,"249,155,193",,#F99BC1
186,isc:MesoarcheanSystem,unnamed2,System,None,0/50/5/0,0,50,5,0,248/129/181,248,129,181,#F881B5,unnamed2 System,,"248,129,181",,#F881B5
187,isc:Mesoarchean,Mesoarchean,Erathem,Black,0/60/5/0,0,60,5,0,247/104/169,247,104,169,#F768A9,Mesoarchean Erathem,,"247,104,169",,#F768A9
188,isc:PaleoarcheanSystem,unnamed3,System,None,0/60/0/0,0,60,0,0,246/104/178,246,104,178,#F668B2,unnamed3 System,,"246,104,178",,#F668B2
189,isc:Paleoarchean,Paleoarchean,Erathem,Black,0/75/0/0,0,75,0,0,244/68/159,244,68,159,#F4449F,Paleoarchean Erathem,,"244,68,159",,#F4449F
190,isc:EoarcheanSystem,unnamed4,System,None,5/90/0/0,5,90,0,0,230/29/140,230,29,140,#E61D8C,unnamed4 System,,"230,29,140",,#E61D8C
191,isc:Eoarchean,Eoarchean,Erathem,Black,10/100/0/0,10,100,0,0,218/3/127,218,3,127,#DA037F,Eoarchean Erathem,,"218,3,127",,#DA037F
192,isc:Archean,Archean,Eonothem,Black,0/100/0/0,0,100,0,0,240/4/127,240,4,127,#F0047F,Archean Eonothem,,"240,4,127",,#F0047F
193,isc:Hadean,Hadean,Eonothem,White,30/100/0/0,30,100,0,0,174/2/126,174,2,126,#AE027E,Hadean,,"174,2,126",,#AE027E
194,isc:Precambrian,Precambrian,super-Eonothem,Black,0/75/30/0,0,75,30,0,247/67/112,247,67,112,#F74370,Precambrian,,"247,67,112",,#F74370
