site,sampleID,interval,rmcd,d13C,d18O
1168A,2H1W,95–97,10.81,,2.92
1168A,2H1W,100–102,10.86,,2.51
1168A,2H1W,105–107,10.91,,2.9
1168A,2H1W,110–112,10.96,,2.62
1168A,2H1W,115–117,11.01,,2.36
1168A,2H1W,120–122,11.06,,3.16
1168A,2H1W,125–127,11.11,,2.47
1168A,2H1W,130–132,11.16,,2.9
1168A,2H1W,135–137,11.21,,2.85
1168A,2H1W,140–142,11.26,,2.63
1168A,2H2W,5–7,11.41,,3.31
1168A,2H2W,10–12,11.46,,1.78
1168A,2H2W,15–17,11.51,,2.93
1168A,2H2W,20–22,11.56,,2.35
1168A,2H2W,30–32,11.66,,2.04
1168A,2H2W,35–37,11.71,,2.3
1168A,2H2W,40–42,11.76,,3.1
1168A,2H2W,45–47,11.81,,2.63
1168A,2H2W,50–52,11.86,,2.44
1168A,2H2W,55–57,11.91,,2.62
1168A,2H2W,60–62,11.96,,2.52
1168A,2H2W,65–67,12.01,,2.61
1168A,2H2W,70–72,12.06,,2.64
1168A,2H2W,75–77,12.11,,2.93
1168A,2H2W,80–82,12.16,,2.75
1168A,2H2W,85–87,12.21,,3.23
1168A,2H2W,90–92,12.26,,1.78
1168A,2H2W,95–97,12.31,,3.2
1168A,2H2W,100–102,12.36,,2.91
1168A,2H2W,105–107,12.41,,2
1168A,2H2W,110–112,12.46,,2.87
1168A,2H2W,115–117,12.51,,2.91
1168A,2H2W,120–122,12.56,,2.02
1168A,2H2W,125–127,12.61,,3.55
1168A,2H2W,130–132,12.66,,2.96
1168A,2H2W,135–137,12.71,,2.92
1168A,2H2W,140–142,12.76,,2.07
1168A,2H2W,145–147,12.81,,1.85
1168A,4H5W,14–16,37.8,1.83,3.03
1168A,4H5W,25–27,37.91,0.65,2.56
1168A,4H5W,38–40,38.04,-0.26,3.47
1168A,4H5W,52–54,38.18,1.02,1.65
1168A,4H5W,62–64,38.28,1.11,1.89
1168A,4H5W,96–98,38.62,-0.53,2.53
1168A,4H6W,3–5,39.09,3.1,2.43
1168A,4H6W,13–15,39.19,-1.53,3.07
1168A,4H6W,23–25,39.29,2.36,1.93
1168A,4H6W,39–41,39.45,1.8,2.29
1168A,4H6W,52–54,39.58,0.84,2.65
1168A,4H6W,64–66,39.7,1.77,2.14
1168A,4H6W,77–79,39.83,-1.88,2.89
1168A,4H6W,92–94,39.98,2.13,3.05
1168A,4H6W,106–108,40.12,2.93,2.97
1168A,4H6W,120–122,40.26,1.87,3.24
1168A,4H6W,132–134,40.38,0.72,3.79
1168A,4H6W,143–145,40.49,4.01,2.77
1168A,4H7W,3–5,40.59,4.01,4.09
1168A,4H7W,14–16,40.7,2.5,3.59
1168A,4H7W,22–24,40.78,4.02,3.78
1168A,4H7W,25–27,40.81,2.51,3.54
1168A,4H7W,38–40,40.94,3.41,3.69
1168A,4H7W,50–52,41.06,4.04,3.82
1168A,5H1W,3–5,41.24,-1.36,3.12
1168A,5H1W,14–16,41.35,4.05,3.5
1168A,5H1W,25–27,41.46,2.04,2.4
1168A,5H1W,38–40,41.59,1.28,2.24
1168A,5H1W,63–65,41.84,0.33,2.5
1168A,5H1W,75–77,41.96,1.03,2.69
1168A,5H1W,86–88,42.07,1.26,2.48
1168A,5H1W,98–100,42.19,0.08,2.8
1168A,5H1W,110–113,42.31,8.53,2.93
1168A,5H1W,123–125,42.44,8.45,2.77
1168A,5H1W,136–138,42.57,5.42,2.68
1168A,5H2W,3–5,42.74,5.71,2.64
1168A,5H2W,12–14,42.83,0.17,-0.53
1168A,5H2W,25–27,42.96,0.89,2.75
1168A,5H2W,38–40,43.09,5.5,2.62
1168A,5H2W,40–42,43.11,2.93,2.21
1168A,5H2W,53–55,43.24,0.77,2.06
1168A,5H2W,75–77,43.46,0.29,3.31
1168A,5H2W,86–88,43.57,6.06,2.77
1168A,5H2W,100–102,43.71,1.09,2.37
1168A,5H2W,116–118,43.87,6.09,2.8
1168A,5H2W,140–142,44.11,-0.31,0.15
1168A,10H1W,60–62,93.98,0.15,2.77
1168A,10H3W,60–62,96.98,0.28,2.56
1168A,10H3W,60–62,96.98,0.21,2.8
1168A,10H4W,60–62,98.48,-0.39,2.75
1168A,10H5W,60–62,99.68,-0.23,2.33
1168A,10H5W,60–62,99.68,0.26,2.69
1168A,10H5W,60–62,99.68,0.06,2.75
1168A,10H5W,60–62,99.68,0.32,2.66
1168A,10H5W,60–62,99.68,0.26,2.52
1168A,10H6W,60–62,101.48,0.58,2.83
1168A,10H6W,60–62,101.48,0.32,2.93
1168A,10H6W,60–62,101.48,0.52,2.62
1168A,10H7W,60–62,102.98,-0.37,2.58
