site,sampleID,interval,rmcd,d13C,d18O,,,,,,,,
1168A,5H1W,50–52,41.71,1.08,2.17,,,,,,,,
1168A,5H1W,63–65,41.84,1.14,2.56,,,,,,,,
1168A,5H1W,67–69,41.88,1.31,2.15,,,,,,,,
1168A,5H1W,75–77,41.96,1.14,2.32,,,,,,,,
1168A,5H1W,86–88,42.07,1.53,1.91,,,,,,,,
1168A,5H1W,98–100,42.19,1.67,1.82,,,,,,,,
1168A,5H1W,110–113,42.31,1.81,2.14,,,,,,,,
1168A,5H1W,123–125,42.44,1.79,2.12,,,,,,,,
1168A,5H1W,136–138,42.57,1.44,1.50,,,,,,,,
1168A,5H2W,3–5,42.74,1.53,2.09,,,,,,,,
1168A,5H2W,12–14,42.83,1.44,1.97,,,,,,,,
1168A,5H2W,25–27,42.96,1.59,2.00,,,,,,,,
1168A,5H2W,38–40,43.09,1.51,2.08,,,,,,,,
1168A,5H2W,40–42,43.11,1.52,2.02,,,,,,,,
1168A,5H2W,53–55,43.24,1.35,1.75,,,,,,,,
1168A,5H2W,64–66,43.35,1.52,2.02,,,,,,,,
1168A,5H2W,75–77,43.46,1.51,2.02,,,,,,,,
1168A,5H2W,86–88,43.57,1.52,2.13,,,,,,,,
1168A,5H2W,100–102,43.71,1.56,2.09,,,,,,,,
1168A,5H2W,116–118,43.87,1.45,1.91,,,,,,,,
1168A,5H2W,128–230,43.99,1.44,1.98,,,,,,,,
1168A,5H2W,140–142,44.11,1.50,1.95,,,,,,,,
1168A,8H1W,91–93,73.83,1.14,2.09,,,,,,,,
1168A,8H2W,88–90,75.30,0.97,2.33,,,,,,,,
1168A,8H3W,88–90,76.80,1.31,1.75,,,,,,,,
1168A,8H5W,87–89,79.79,1.69,2.31,,,,,,,,
1168A,8H6W,16–18,80.58,1.67,2.07,,,,,,,,
1168A,8H7W,16–18,81.58,1.62,1.69,,,,,,,,
1168A,9H1W,63.5–65.5,83.06,0.88,1.47,,,,,,,,
1168A,9H2W,65–67,84.57,1.30,1.53,,,,,,,,
